sku,store,attribute_set,type,categories,name,description,short_description,image,small_image,thumbnail,price,weight,manufacturer,status,visibility,qty,is_in_stock,notify_stock_qty,manage_stock
35,admin,Default,simple,Conservas,Trucha al natural con finas hierbas - Tarul Aike,Trucha al natural con finas hierbas - Tarul Aike,Trucha al natural con finas hierbas - Tarul Aike,/1100x1100/P1040603.png,/360x360/M_P1040603.png,/80x80/S_P1040603.png,"111,24",.5,Tarul Aike,1,"Catalo,Search",6,1,1,1
36,admin,Default,simple,Conservas,Trucha con finas hierbas sin sal agrgada - Tarul Aike,Trucha con finas hierbas sin sal agrgada - Tarul Aike,Trucha con finas hierbas sin sal agrgada - Tarul Aike,/1100x1100/P1040602.png,/360x360/M_P1040602.png,/80x80/S_P1040602.png,"111,24",.5,Tarul Aike,1,"Catalo,Search",6,1,1,1
337,admin,Default,simple,Pastas,Fideos secos artesanales cinta blanca - Pasta Sur ,Fideos secos artesanales cinta blanca - Pasta Sur ,Fideos secos artesanales cinta blanca - Pasta Sur ,/1100x1100/P1040586.png,/360x360/M_P1040586.png,/80x80/S_P1040586.png,"45,75",.5,Pasta sur,1,"Catalo,Search",5,1,1,1
336,admin,Default,simple,Conservas,Berenjenas en escabeche - Latillán,Berenjenas en escabeche - Latillán,Berenjenas en escabeche - Latillán,/1100x1100/P1040610.png,/360x360/M_P1040610.png,/80x80/S_P1040610.png,"76,37",.31,Latillán,1,"Catalo,Search",2,1,1,1
338,admin,Default,simple,Pastas,Línea Gourmet Papardelle - Pasta sur,Línea Gourmet Papardelle - Pasta sur,Línea Gourmet Papardelle - Pasta sur,,,,"61,10",.5,Pasta sur,1,"Catalo,Search",5,1,1,1
339,admin,Default,simple,Alacena,Hongos pino seco - Tekoa,Hongos pino seco - Tekoa,Hongos pino seco - Tekoa,/1100x1100/P1040604.png,/360x360/M_P1040604.png,/80x80/S_P1040604.png,"78,69",.5,Tekoa,1,"Catalo,Search",5,1,1,1
340,admin,Default,simple,Conservas,Pepinillos Agridulces - Flor de jardín,Pepinillos Agridulces - Flor de jardín,Pepinillos Agridulces - Flor de jardín,/1100x1100/P1040612.png,/360x360/M_P1040612.png,/80x80/S_P1040612.png,"80,02",.5,Flor de jardin,1,"Catalo,Search",5,1,1,1
343,admin,Default,simple,Alacena,Hongos shiitake enteros - Tekoa,Hongos shiitake enteros - Tekoa,Hongos shiitake enteros - Tekoa,/1100x1100/P1040605.png,/360x360/M_P1040605.png,/80x80/S_P1040605.png,"78,69",.5,Tekoa,1,"Catalo,Search",3,1,1,1
335,admin,Default,simple,Alacena,Dulce de leche - Salamandra,Dulce de leche - Salamandra,Dulce de leche - Salamandra,/1100x1100/P1040633.png,/360x360/M_P1040633.png,/80x80/S_P1040633.png,"59,68",.28,Salamandra,1,"Catalo,Search",4,1,1,1
342,admin,Default,simple,Alacena,Adherezo de Girgolas suave - Setas patagónicas,Adherezo de Girgolas suave - Setas patagónicas,Adherezo de Girgolas suave - Setas patagónicas,/1100x1100/P1040630.png,/360x360/M_P1040630.png,/80x80/S_P1040630.png,"76,17",.5,Setas Patagonicas,1,"Catalo,Search",7,1,1,1
346,admin,Default,simple,Conservas,Champinones saborizados - Filomena,Champinones saborizados - Filomena,Champinones saborizados - Filomena,/1100x1100/P1040616.png,/360x360/M_P1040616.png,/80x80/S_P1040616.png,"107,04",.45,Filomena,1,"Catalo,Search",12,1,1,1
347,admin,Default,simple,Alacena,CHUTNEY DE PERA - Filomena,CHUTNEY DE PERA 450 Grs. - Filomena,CHUTNEY DE PERA 450 Grs. - Filomena,/1100x1100/P1040626.png,/360x360/M_P1040626.png,/80x80/S_P1040626.png,"80,79",.45,Filomena,1,"Catalo,Search",12,1,1,1
